0,1766997232294,1766997232294,1,1
1,1766997232313,1766997232313,1,0
2,1766997232346,1766997232346,1,0
3,1766997232379,1766997232379,1,0
4,1766997232412,1766997232412,1,1
5,1766997232446,1766997232446,1,0
6,1766997232479,1766997232479,1,0
7,1766997232512,1766997232512,1,1
8,1766997232546,1766997232546,1,0
9,1766997232579,1766997232579,1,1
10,1766997232612,1766997232612,1,0
11,1766997232645,1766997232646,1,1
12,1766997232679,1766997232679,1,0
13,1766997232712,1766997232712,1,0
14,1766997232745,1766997232746,1,0
15,1766997232779,1766997232779,1,1
16,1766997232812,1766997232812,1,0
17,1766997232845,1766997232845,1,0
18,1766997232879,1766997232879,1,0
19,1766997232912,1766997232912,1,0
20,1766997232945,1766997232945,1,0
21,1766997232979,1766997232979,1,0
22,1766997233012,1766997233012,1,0
23,1766997233045,1766997233045,1,0
24,1766997233079,1766997233079,1,1
25,1766997233112,1766997233112,1,0
26,1766997233145,1766997233146,1,0
27,1766997233179,1766997233179,1,0
28,1766997233212,1766997233212,1,0
29,1766997233246,1766997233246,1,0
30,1766997233279,1766997233279,1,0
31,1766997233312,1766997233312,1,0
32,1766997233346,1766997233346,1,0
33,1766997233379,1766997233379,1,0
34,1766997233412,1766997233412,1,1
35,1766997233445,1766997233445,1,1
36,1766997233479,1766997233479,1,0
37,1766997233512,1766997233512,1,0
38,1766997233546,1766997233546,1,0
39,1766997233579,1766997233579,1,1
40,1766997233612,1766997233612,1,0
41,1766997233645,1766997233645,1,0
42,1766997233679,1766997233679,1,0
43,1766997233712,1766997233712,1,0
44,1766997233745,1766997233745,1,1
45,1766997233779,1766997233779,1,0
46,1766997233812,1766997233812,1,0
47,1766997233845,1766997233845,1,1
48,1766997233879,1766997233879,1,0
49,1766997233912,1766997233912,1,0
50,1766997233945,1766997233945,1,0
51,1766997233979,1766997233979,1,0
52,0,1766997234012,1,1
53,1766997234045,1766997234045,1,0
54,1766997234079,1766997234079,1,0
55,0,1766997234112,1,1
56,1766997234145,1766997234145,1,0
57,1766997234179,1766997234179,1,0
58,1766997234212,1766997234212,1,1
59,1766997234245,1766997234245,1,0
60,1766997234279,1766997234279,1,0
61,0,1766997234312,1,1
62,1766997234345,1766997234346,1,0
63,1766997234379,1766997234379,1,0
64,1766997234412,1766997234412,1,0
65,1766997234446,1766997234446,1,0
66,1766997234479,1766997234479,1,0
67,1766997234512,1766997234512,1,0
68,1766997234545,1766997234546,1,0
69,0,1766997234579,1,1
70,1766997234612,1766997234612,1,0
71,1766997234645,1766997234645,1,0
72,1766997234679,1766997234679,1,0
73,1766997234712,1766997234712,1,0
74,1766997234745,1766997234745,1,0
75,1766997234779,1766997234779,1,0
76,1766997234812,1766997234812,1,0
77,1766997234845,1766997234845,1,1
78,1766997234879,1766997234879,1,1
79,1766997234912,1766997234912,1,0
80,1766997234945,1766997234945,1,0
81,1766997234979,1766997234979,1,0
82,1766997235012,1766997235012,1,0
83,1766997235045,1766997235045,1,0
84,1766997235079,1766997235079,1,1
85,1766997235112,1766997235112,1,1
86,1766997235145,1766997235145,1,0
87,1766997235179,1766997235179,1,0
88,1766997235212,1766997235212,1,0
89,1766997235245,1766997235245,1,1
90,1766997235279,1766997235279,1,0
91,1766997235312,1766997235312,1,1
92,1766997235345,1766997235345,1,0
93,1766997235379,1766997235379,1,0
94,1766997235412,1766997235412,1,0
95,1766997235445,1766997235446,1,1
96,1766997235479,1766997235479,1,0
97,1766997235512,1766997235512,1,0
98,1766997235545,1766997235546,1,1
99,1766997235579,1766997235579,1,0
100,1766997235612,1766997235612,1,0
101,1766997235645,1766997235645,1,0
102,1766997235679,1766997235679,1,0
103,1766997235712,1766997235712,1,1
104,1766997235745,1766997235745,1,0
105,1766997235779,1766997235779,1,1
106,1766997235812,1766997235812,1,1
107,1766997235845,1766997235845,1,0
108,1766997235879,1766997235879,1,0
109,1766997235912,1766997235912,1,0
110,1766997235945,1766997235945,1,0
111,1766997235979,1766997235979,1,1
112,1766997236012,1766997236012,1,0
113,1766997236045,1766997236045,1,0
114,1766997236079,1766997236079,1,0
115,1766997236146,1766997236146,1,1
116,1766997236145,1766997236146,1,0
117,1766997236179,1766997236179,1,0
118,1766997236212,1766997236212,1,0
119,1766997236245,1766997236246,1,0
120,1766997236279,1766997236279,1,0
121,1766997236312,1766997236312,1,0
122,1766997236345,1766997236345,1,0
123,1766997236379,1766997236379,1,0
124,1766997236412,1766997236412,1,0
125,1766997236445,1766997236445,1,0
126,1766997236479,1766997236479,1,0
127,1766997236512,1766997236512,1,0
128,1766997236545,1766997236545,1,0
129,1766997236579,1766997236579,1,0
130,1766997236612,1766997236612,1,0
131,1766997236645,1766997236645,1,0
132,1766997236679,1766997236679,1,1
133,1766997236712,1766997236712,1,0
134,1766997236745,1766997236745,1,0
135,1766997236779,1766997236779,1,0
136,1766997236812,1766997236812,1,0
137,1766997236845,1766997236845,1,0
138,1766997236879,1766997236879,1,1
139,1766997236912,1766997236912,1,0
140,1766997236945,1766997236945,1,0
141,1766997236979,1766997236979,1,0
142,1766997237012,1766997237012,1,0
143,1766997237045,1766997237045,1,1
144,1766997237079,1766997237079,1,0
145,1766997237112,1766997237112,1,0
146,1766997237145,1766997237145,1,1
147,1766997237179,1766997237179,1,0
148,1766997237212,1766997237212,1,0
149,1766997237246,1766997237246,1,0
150,1766997237279,1766997237279,1,0
151,1766997237312,1766997237312,1,0
152,1766997237345,1766997237345,1,1
153,1766997237379,1766997237379,1,0
154,1766997237412,1766997237412,1,0
155,1766997237445,1766997237446,1,0
156,1766997237479,1766997237479,1,0
157,1766997237512,1766997237512,1,0
158,1766997237545,1766997237545,1,0
159,1766997237579,1766997237579,1,0
160,1766997237612,1766997237612,1,0
161,1766997237646,1766997237646,1,0
162,1766997237679,1766997237679,1,0
163,1766997237712,1766997237712,1,1
164,1766997237779,1766997237779,1,1
165,1766997237779,1766997237779,1,0
166,1766997237812,1766997237812,1,0
167,1766997237845,1766997237845,1,0
168,1766997237879,1766997237879,1,0
169,1766997237912,1766997237912,1,0
170,1766997237945,1766997237945,1,0
171,1766997237979,1766997237979,1,0
172,1766997238012,1766997238012,1,1
173,1766997238045,1766997238112,1,0
174,1766997238079,1766997238112,1,0
175,1766997238112,1766997238112,1,1
176,1766997238145,1766997238146,1,0
177,1766997238179,1766997238179,1,0
178,1766997238212,1766997238212,1,0
179,1766997238246,1766997238246,1,0
180,1766997238279,1766997238279,1,0
181,1766997238312,1766997238312,1,0
182,1766997238345,1766997238345,1,0
183,1766997238379,1766997238379,1,0
184,1766997238412,1766997238412,1,0
185,1766997238446,1766997238446,1,0
186,1766997238479,1766997238479,1,1
187,1766997238512,1766997238512,1,0
188,1766997238546,1766997238546,1,0
189,1766997238579,1766997238579,1,0
190,1766997238612,1766997238612,1,1
191,1766997238646,1766997238646,1,0
192,1766997238679,1766997238679,1,0
193,1766997238712,1766997238712,1,1
194,1766997238746,1766997238746,1,0
195,1766997238779,1766997238779,1,0
196,1766997238812,1766997238812,1,0
197,1766997238846,1766997238846,1,0
198,1766997238879,1766997238879,1,0
199,1766997238912,1766997238912,1,0
200,1766997238946,1766997238946,1,0
201,1766997238979,1766997238979,1,0
202,1766997239012,1766997239012,1,0
203,1766997239046,1766997239046,1,0
204,1766997239079,1766997239079,1,0
205,1766997239112,1766997239112,1,0
206,1766997239146,1766997239146,1,0
207,1766997239179,1766997239179,1,0
208,1766997239212,1766997239212,1,0
209,1766997239246,1766997239246,1,1
210,1766997239279,1766997239279,1,1
211,1766997239312,1766997239312,1,0
212,1766997239346,1766997239346,1,1
213,1766997239379,1766997239379,1,0
214,1766997239412,1766997239412,1,0
215,1766997239445,1766997239446,1,1
216,1766997239479,1766997239479,1,0
217,1766997239512,1766997239512,1,0
218,1766997239546,1766997239546,1,0
219,1766997239579,1766997239579,1,0
220,1766997239612,1766997239612,1,0
221,1766997239646,1766997239646,1,0
222,1766997239679,1766997239679,1,0
223,1766997239712,1766997239712,1,1
224,1766997239746,1766997239746,1,0
225,1766997239779,1766997239779,1,0
226,1766997239812,1766997239812,1,0
227,1766997239846,1766997239846,1,0
228,1766997239879,1766997239879,1,0
229,1766997239912,1766997239912,1,0
230,1766997239946,1766997239946,1,0
231,1766997239979,1766997239979,1,1
232,1766997240012,1766997240012,1,1
233,1766997240046,1766997240046,1,0
234,1766997240079,1766997240079,1,1
235,1766997240112,1766997240112,1,0
236,1766997240146,1766997240146,1,0
237,1766997240179,1766997240179,1,0
238,1766997240212,1766997240212,1,0
239,1766997240246,1766997240246,1,1
240,1766997240280,1766997240280,1,1
241,1766997240312,1766997240312,1,0
242,1766997240346,1766997240346,1,0
243,1766997240379,1766997240379,1,0
244,1766997240412,1766997240412,1,0
245,1766997240446,1766997240446,1,0
246,1766997240479,1766997240479,1,0
247,1766997240512,1766997240512,1,0
248,1766997240546,1766997240546,1,0
249,1766997240579,1766997240579,1,0
250,1766997240612,1766997240612,1,0
251,1766997240646,1766997240646,1,1
252,1766997240679,1766997240679,1,0
253,1766997240712,1766997240712,1,0
254,1766997240745,1766997240746,1,1
255,1766997240779,1766997240779,1,1
256,1766997240812,1766997240812,1,1
257,1766997240846,1766997240846,1,0
258,1766997240879,1766997240879,1,0
259,1766997240912,1766997240912,1,0
260,1766997240946,1766997240946,1,0
261,1766997240979,1766997240979,1,0
262,1766997241012,1766997241012,1,1
263,1766997241045,1766997241045,1,0
264,1766997241079,1766997241079,1,0
265,1766997241112,1766997241112,1,0
266,1766997241145,1766997241145,1,0
267,1766997241179,1766997241179,1,0
268,1766997241212,1766997241212,1,1
269,1766997241246,1766997241246,1,0
270,1766997241279,1766997241279,1,0
271,1766997241312,1766997241312,1,0
272,1766997241345,1766997241346,1,1
273,1766997241379,1766997241379,1,0
274,1766997241412,1766997241412,1,1
275,1766997241446,1766997241446,1,0
276,1766997241479,1766997241479,1,0
277,1766997241512,1766997241512,1,0
278,1766997241546,1766997241546,1,0
279,1766997241579,1766997241579,1,0
280,1766997241612,1766997241612,1,0
281,1766997241646,1766997241646,1,0
282,1766997241679,1766997241679,1,0
283,1766997241712,1766997241712,1,0
284,1766997241745,1766997241745,1,0
285,1766997241779,1766997241779,1,0
286,1766997241812,1766997241812,1,0
287,1766997241846,1766997241846,1,0
288,1766997241879,1766997241879,1,0
289,1766997241912,1766997241912,1,0
290,1766997241945,1766997241946,1,0
291,1766997241979,1766997241979,1,0
292,1766997242012,1766997242012,1,1
293,1766997242045,1766997242045,1,0
294,1766997242079,1766997242079,1,1
295,1766997242112,1766997242112,1,0
296,1766997242145,1766997242145,1,0
297,1766997242179,1766997242179,1,0
298,1766997242212,1766997242212,1,1
